Italian,French
e,Et
non,Pas
che,Ce
di,De
la,là
il,Le
un,un
a,pour
per,Pour
è,Et
in,dans
una,un
mi,moi
sono,Je suis
ho,J'ai
l',L '
si,Oui
ha,a
ma,mais
lo,le
cosa,Qu'est-ce
con,avec
no,Non
le,le
ti,toi
se,soi
da,depuis
i,le
come,"comme, comment"
io,je
ci,Là
hai,tu as
questo,ce
bene,bien
qui,ici
sei,six
del,de la
tu,toi
solo,seulement
mio,Mon
al,au
me,moi-même
tutto,tout
c',là
te,toi
era,ère
della,du
mia,mon
fatto,fini
fare,Faire
essere,être
so,Je sais
quando,quand
sè,soi
ora,maintenant
lei,elle
gli,Le
ne,ni
oh,Oh
questa,ce
detto,a dit
ok,d'accord
va,ça va
perche,pouquoi
quello,celui-la
mai,jamais
alla,au
o,ou
anche,aussi
stato,l'état
abbiamo,nous avons
tutti,tous
dei,de la
grazie,Merci
chi,OMS
sta,est
molto,très
più,plus
voglio,Je veux
perchè,pouquoi
tuo,ton
beh,Bien
sia,est
nel,Dans le
lui,il
allora,donc
posso,Je peux
piu,plus
ehi,Hé
prima,avant
tua,ton
suo,son
niente,Rien
qualcosa,quelque chose
sai,Vous savez
siamo,nous sommes
un',un
cosi,Comme ça
davvero,Vraiment
ancora,encore
hanno,ont
stai,tu es
fa,fait
sua,son
così,Comme ça
casa,Maison
uno,un
dove,Où
su,sur
vero,vrai
vuoi,tu veux
noi,nous
due,deux
quindi,donc
dire,dire
d',d '
delle,du
quella,ce
sempre,toujours
altro,Autre
sto,ce
andare,aller
ad,pour
po,bit
loro,leur
devo,Je dois
quel,ce
forse,Peut-être
li,là
proprio,posséder
certo,bien sûr
tempo,temps
nella,dans le
poi,puis
vi,toi
credo,Je crois
vita,vie
cose,choses
sul,sur le
quanto,combien
puoi,tu peux
fuori,dehors
anni,années
cui,qui
andiamo,allons-y
dell',de
parte,partie
visto,voir
qualcuno,quelqu'un
all',à
lavoro,Travail
voi,toi
ciao,Bonjour; salut
dio,Dieu
volta,temps
dopo,Après
adesso,Maintenant
stata,était
uomo,homme
padre,père
devi,vous devez
bisogno,besoin
gia,Déjà
amico,Ami
ed,et
posto,lieu
nessuno,aucun
via,Rue
cos',donc
fai,tu fais
signore,Monsieur
meglio,mieux
cazzo,Merde
dai,allez
dal,du
vuole,veut
sembra,il semble
giorno,jour
ogni,Tout va bien
modo,chemin
senza,sans
vedere,voir
dobbiamo,nous devons
signor,M
qualche,certains
dispiace,Désolé
penso,Je pense
ecco,Voici
parlare,parler
tra,Entre
mamma,maman
già,Déjà
sarebbe,serait
dalla,du
troppo,aussi
fosse,est
possiamo,nous pouvons
ce,il y a
nuovo,neuf
male,mal
madre,mère
avete,tu as
tanto,beaucoup
favore,service
successo,succès
vai,Aller
sulla,sur le
giusto,Droite
sa,savoir
miei,mon
aspetta,Attendez
avere,ont
altra,autre
farlo,pour le faire
alle,pour
facendo,action
abbia,ont
momento,moment
ero,J'étais
aveva,J'avais
ragazzi,Garçons
deve,dois
